Bestandsnaam,Score,Redenen,Grootte,Pad
B07Z9QLCS6.ticr.backup,4,Zeer oud (1703 dagen) | Backup/temp patroon,1.08 KB,/onbekend/internal card 2/Android/data/com.amazon.kindle/files/B07Z9QLCS6
amzn1.account.AGFOEK3UHRPH6AZNLGONGXAUYPIA.ticr.backup,4,Zeer oud (1703 dagen) | Backup/temp patroon,1.31 KB,/onbekend/internal card 2/Android/data/com.amazon.kindle/files
Screenshot_20200901-020932_Netflix.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,36.38 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200831-201753_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.07 MB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200831-195627_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,748.34 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200831-194826_WeatherBug.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,594.82 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200831-192719_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,702.37 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200831-152743_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,213.74 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200831-142116_Messages.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,398.32 KB,/onbekend/internal card 2/DCIM/Screenshots
autocompletecache.ser,4,Zeer oud (1703 dagen) | Backup/temp patroon,40.81 KB,/onbekend/internal card 2/Android/data/com.amazon.kindle/files/B07Z9QLCS6
cache_vts_com.themobilecompany.Onderweg_default.0,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.56 MB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
cache_vts_com.themobilecompany.Onderweg_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
cache_r.0,4,Zeer oud (1702 dagen) | Backup/temp patroon,50.21 KB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
cache_vts_no_pois_com.themobilecompany.Onderweg_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
cache_vts_labl_com.themobilecompany.Onderweg_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
cache_bd.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,26.00 KB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
cache_its_ter.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
cache_its.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
cache_r.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,32.00 KB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
cache_vts_inaka_com.themobilecompany.Onderweg_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.themobilecompany.Onderweg/cache
.aid.bak,4,Zeer oud (1714 dagen) | Backup/temp patroon,80.00 B,/onbekend/internal card 2
cache_vts_com.booking_280b60265a93666d.0,4,Zeer oud (1703 dagen) | Backup/temp patroon,3.34 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_com.booking_280b60265a93666d.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_com.airbnb.android_cf13cca5c2180c9b.0,4,Zeer oud (1703 dagen) | Backup/temp patroon,3.63 MB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_com.airbnb.android_cf13cca5c2180c9b.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_r.0,4,Zeer oud (1703 dagen) | Backup/temp patroon,17.84 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_com.oneshoe.yellowbrick_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.oneshoe.yellowbrick/cache
cache_vts_com.oneshoe.yellowbrick_default.0,4,Zeer oud (1702 dagen) | Backup/temp patroon,810.32 KB,/onbekend/internal card 2/Android/data/com.oneshoe.yellowbrick/cache
cache_r.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,32.00 KB,/onbekend/internal card 2/Android/data/com.oneshoe.yellowbrick/cache
cache_r.0,4,Zeer oud (1702 dagen) | Backup/temp patroon,10.16 KB,/onbekend/internal card 2/Android/data/com.oneshoe.yellowbrick/cache
cache_its.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.oneshoe.yellowbrick/cache
